X;Y;Det1;Det1_err;Det2;Det2_err;Coinc;Coinc_err;Ratio1;Ratio2
-1;-8;4907;70,04998216;7020;83,78544026;4756;68,9637586;0,699002849;1,430609334
-1;-9;3543;59,52310476;5922;76,95453203;3502;59,1776985;0,598277609;1,67146486
-1;-10;3184;56,42694392;6272;79,19595949;3154;56,16048433;0,507653061;1,969849246
-1;-11;2708;52,03844733;6921;83,19254774;2691;51,8748494;0,391272937;2,555760709
-1;-12;2837;53,26349594;7813;88,39117603;2808;52,9905652;0,363112761;2,753965456

0;12;7002;83,67795409;2266;47,60252094;2257;47,50789408;3,090026478;0,323621822
0;11;5448;73,81056835;2201;46,91481642;2194;46,84015371;2,475238528;0,404001468
0;10;5248;72,44308111;2653;51,50728104;2634;51,32250968;1,978137957;0,505525915
0;9;6382;79,88742079;3917;62,58594091;3863;62,15303693;1,629308144;0,613757443
0;8;6367;79,79348344;4429;66,55073253;4295;65,53624951;1,437570558;0,69561803
0;7;6713;81,93289938;5087;71,323208;4859;69,70652767;1,319638294;0,757783405
0;6;6367;79,79348344;5117;71,53320907;4760;68,99275324;1,24428376;0,8036752
0;5;5970;77,26577509;5035;70,9577339;4598;67,80855403;1,185700099;0,843383585
0;4;5568;74,61903242;4918;70,12845357;4377;66,15889963;1,132167548;0,883261494
0;3;5266;72,56721023;4811;69,36137254;4178;64,63745044;1,094574932;0,913596658
0;2;5331;73,01369735;4953;70,37755324;4306;65,62011887;1,076317383;0,929093979
0;1;5268;72,58098925;4928;70,1997151;4241;65,12296062;1,068993506;0,935459377
0;0;5046;71,03520254;4907;70,04998216;4180;64,6529195;1,02832688;0,972453428
0;-1;5128;71,61005516;5081;71,28113355;4260;65,26867549;1,009250148;0,990834633
0;-2;5121;71,56116265;5147;71,74259544;4326;65,77233461;0,994948514;1,005077133
0;-3;5371;73,28710664;5546;74,47147105;4599;67,81592733;0,968445727;1,032582387
0;-4;5450;73,8241153;5678;75,35250494;4681;68,41783393;0,959845016;1,041834862
0;-5;5301;72,8079666;5954;77,1621669;4749;68,91298862;0,890325831;1,123184305
0;-6;5462;73,90534487;6514;80,7093551;5038;70,9788701;0,838501689;1,192603442
0;-7;5505;74,19568721;7075;84,11301921;5237;72,36711961;0,778091873;1,285195277
0;-8;4985;70,60453243;7236;85,06468127;4848;69,62758074;0,688916528;1,451554664
0;-9;3662;60,51446108;6255;79,08855796;3610;60,08327554;0,585451639;1,708083015
0;-10;3293;57,38466694;6878;82,93370847;3272;57,20139858;0,478772899;2,088672943
0;-11;2938;54,20332093;7847;88,58329414;2925;54,08326913;0,374410603;2,670864534
0;-12;3224;56,78027827;7316;85,53361912;3173;56,32938842;0,440677966;2,269230769

1;12;5084;71,30217388;1946;44,11349;1931;43,94314509;2,612538541;0,382769473
1;11;4812;69,36858078;2243;47,36032094;2231;47,23346271;2,145341061;0,466126351
1;10;4947;70,33491309;2735;52,29722746;2714;52,09606511;1,808775137;0,552860319
1;9;5469;73,95268758;3623;60,19136151;3531;59,42221807;1,509522495;0,662461145
1;8;5586;74,73954776;4143;64,36614017;3924;62,64183905;1,348298335;0,741675618
1;7;6241;79;5175;71,93747285;4765;69,02897942;1,205990338;0,829194039
1;6;5780;76,02631123;5050;71,06335202;4566;67,57218363;1,144554455;0,873702422
1;5;5481;74,03377608;5076;71,24605252;4460;66,78323143;1,079787234;0,926108374
1;4;5138;71,67984375;4959;70,42016757;4238;65,0999232;1,036095987;0,965161541
1;3;4810;69,35416354;4743;68,8694417;3985;63,12685641;1,014126081;0,986070686
1;2;4766;69,03622238;4789;69,20260111;3988;63,15061362;0,995197327;1,00482585
1;1;4572;67,61656602;4712;68,64400921;3873;62,23343153;0,970288625;1,030621172
1;0;4512;67,17142249;4727;68,75318174;3843;61,99193496;0,954516607;1,047650709
1;-1;4547;67,43144667;4879;69,84983894;3903;62,47399459;0,931953269;1,073015175
1;-2;4514;67,18630813;5068;71,18988692;3983;63,1110133;0,890686661;1,122729287
1;-3;4714;68,65857558;5435;73,72245248;4196;64,77653896;0,867341306;1,152948664
1;-4;4688;68,46897107;5489;74,08778577;4248;65,17668295;0,85407178;1,170861775
1;-5;4857;69,69218034;5916;76,91553809;4464;66,81317235;0,820993915;1,218035825
